City,Country,Continent
Gdańsk,Poland,Europe
Szczecin,Poland,Europe
Bydgoszcz,Poland,Europe
Lublin,Poland,Europe
Katowice,Poland,Europe
Lisbon,Portugal,Europe
Porto,Portugal,Europe
Vila Nova de Gaia,Portugal,Europe
Amadora,Portugal,Europe
Braga,Portugal,Europe
Funchal,Portugal,Europe
Coimbra,Portugal,Europe
Setúbal,Portugal,Europe
Queluz,Portugal,Europe
Agualva-Cacém,Portugal,Europe
Bucharest,Romania,Europe
Cluj-Napoca,Romania,Europe
Timișoara,Romania,Europe
Iași,Romania,Europe
Constanța,Romania,Europe
Craiova,Romania,Europe
Brașov,Romania,Europe
Galați,Romania,Europe
Ploiești,Romania,Europe
Oradea,Romania,Europe
Moscow,Russia,Europe
Saint Petersburg,Russia,Europe
Novosibirsk,Russia,Europe
Yekaterinburg,Russia,Europe
Nizhny Novgorod,Russia,Europe
Kazan,Russia,Europe
Chelyabinsk,Russia,Europe
Omsk,Russia,Europe
Samara,Russia,Europe
Rostov-on-Don,Russia,Europe
San Marino,San Marino,Europe
Belgrade,Serbia,Europe
Novi Sad,Serbia,Europe
Niš,Serbia,Europe
Kragujevac,Serbia,Europe
Subotica,Serbia,Europe
Zrenjanin,Serbia,Europe
Pančevo,Serbia,Europe
Čačak,Serbia,Europe
Novi Pazar,Serbia,Europe
Kraljevo,Serbia,Europe
Bratislava,Slovakia,Europe
Košice,Slovakia,Europe
Prešov,Slovakia,Europe
Žilina,Slovakia,Europe
Nitra,Slovakia,Europe
Banská Bystrica,Slovakia,Europe
Trnava,Slovakia,Europe
Martin,Slovakia,Europe
Trenčín,Slovakia,Europe
Poprad,Slovakia,Europe
Ljubljana,Slovenia,Europe
Maribor,Slovenia,Europe
Celje,Slovenia,Europe
Kranj,Slovenia,Europe
Velenje,Slovenia,Europe
Koper,Slovenia,Europe
Novo Mesto,Slovenia,Europe
Ptuj,Slovenia,Europe
Trbovlje,Slovenia,Europe
Kamnik,Slovenia,Europe
Madrid,Spain,Europe
Barcelona,Spain,Europe
Valencia,Spain,Europe
Seville,Spain,Europe
Zaragoza,Spain,Europe
Málaga,Spain,Europe
Murcia,Spain,Europe
Palma,Spain,Europe
Las Palmas,Spain,Europe
Bilbao,Spain,Europe
Stockholm,Sweden,Europe
Gothenburg,Sweden,Europe
Malmö,Sweden,Europe
Uppsala,Sweden,Europe
Västerås,Sweden,Europe
Örebro,Sweden,Europe
Linköping,Sweden,Europe
Helsingborg,Sweden,Europe
Jönköping,Sweden,Europe
Norrköping,Sweden,Europe
Luleå,Sweden,Europe
Piteå,Sweden,Europe
Umeå,Sweden,Europe
Sundsvall,Sweden,Europe
Zurich,Switzerland,Europe
Geneva,Switzerland,Europe
Basel,Switzerland,Europe
Lausanne,Switzerland,Europe
Bern,Switzerland,Europe
Winterthur,Switzerland,Europe
Lucerne,Switzerland,Europe
St. Gallen,Switzerland,Europe
Lugano,Switzerland,Europe
Biel/Bienne,Switzerland,Europe
Istanbul,Turkey,Europe
Ankara,Turkey,Europe
İzmir,Turkey,Europe
Bursa,Turkey,Europe
Adana,Turkey,Europe
Gaziantep,Turkey,Europe
Konya,Turkey,Europe
Antalya,Turkey,Europe
Kayseri,Turkey,Europe
Mersin,Turkey,Europe
Kyiv,Ukraine,Europe
Kharkiv,Ukraine,Europe
Odesa,Ukraine,Europe
Dnipro,Ukraine,Europe
Donetsk,Ukraine,Europe
Zaporizhzhia,Ukraine,Europe
Lviv,Ukraine,Europe
Kryvyi Rih,Ukraine,Europe
Mykolaiv,Ukraine,Europe
Mariupol,Ukraine,Europe
London,United Kingdom,Europe
Birmingham,United Kingdom,Europe
Manchester,United Kingdom,Europe
Glasgow,United Kingdom,Europe
Newcastle upon Tyne,United Kingdom,Europe
Sheffield,United Kingdom,Europe
Liverpool,United Kingdom,Europe
Leeds,United Kingdom,Europe
Edinburgh,United Kingdom,Europe
Bristol,United Kingdom,Europe
Vatican City,Vatican City,Europe
