City,Country,Latitude,Longitude
Lublin,Poland,51.2500,22.5667
Katowice,Poland,50.2667,19.0167
Lisbon,Portugal,38.7253,-9.1500
Porto,Portugal,41.1621,-8.6220
Vila Nova de Gaia,Portugal,41.1333,-8.6167
Amadora,Portugal,38.7333,-9.2333
Braga,Portugal,41.5503,-8.4200
Funchal,Portugal,32.6500,-16.9167
Coimbra,Portugal,40.2111,-8.4292
Setúbal,Portugal,38.5243,-8.8926
Queluz,Portugal,38.7514,-9.2664
Bucharest,Romania,44.4325,26.1039
Cluj-Napoca,Romania,46.7667,23.5833
Craiova,Romania,44.3333,23.8167
Oradea,Romania,47.0722,21.9211
Moscow,Russia,55.7558,37.6178
Saint Petersburg,Russia,59.9500,30.3167
Novosibirsk,Russia,55.0333,82.9167
Yekaterinburg,Russia,56.8356,60.6128
Kazan,Russia,55.7964,49.1089
Chelyabinsk,Russia,55.1500,61.4000
Omsk,Russia,54.9667,73.3833
Samara,Russia,53.2028,50.1408
San Marino,San Marino,43.9346,12.4473
Belgrade,Serbia,44.8200,20.4600
Novi Sad,Serbia,45.2542,19.8425
Niš,Serbia,43.3192,21.8961
Kragujevac,Serbia,44.0142,20.9394
Subotica,Serbia,46.1003,19.6656
Zrenjanin,Serbia,45.3833,20.3894
Pančevo,Serbia,44.8706,20.6403
Čačak,Serbia,43.8914,20.3497
Novi Pazar,Serbia,43.1500,20.5167
Kraljevo,Serbia,43.7234,20.6870
Bratislava,Slovakia,48.1439,17.1097
Košice,Slovakia,48.7167,21.2500
Prešov,Slovakia,49.0017,21.2394
Žilina,Slovakia,49.2228,18.7400
Nitra,Slovakia,48.3069,18.0864
Banská Bystrica,Slovakia,48.7353,19.1453
Trnava,Slovakia,48.3775,17.5883
Martin,Slovakia,49.0650,18.9219
Trenčín,Slovakia,48.8919,18.0367
Poprad,Slovakia,49.0594,20.2975
Ljubljana,Slovenia,46.0514,14.5061
Maribor,Slovenia,46.5575,15.6456
Celje,Slovenia,46.2358,15.2675
Kranj,Slovenia,46.2333,14.3667
Velenje,Slovenia,46.3625,15.1144
Koper,Slovenia,45.5500,13.7333
Novo Mesto,Slovenia,45.8000,15.1667
Ptuj,Slovenia,46.4194,15.8694
Trbovlje,Slovenia,46.1500,15.0500
Kamnik,Slovenia,46.2257,14.6120
Madrid,Spain,40.4169,-3.7033
Barcelona,Spain,41.3825,2.1769
Valencia,Spain,39.4700,-0.3764
Zaragoza,Spain,41.6500,-0.8833
Málaga,Spain,36.7194,-4.4200
Murcia,Spain,37.9861,-1.1303
Palma,Spain,39.5667,2.6500
Las Palmas,Spain,28.1272,-15.4314
Bilbao,Spain,43.2569,-2.9236
Stockholm,Sweden,59.3294,18.0686
Gothenburg,Sweden,57.7075,11.9675
Malmö,Sweden,55.6058,13.0358
Uppsala,Sweden,59.8601,17.6400
Västerås,Sweden,59.6161,16.5528
Örebro,Sweden,59.2739,15.2075
Linköping,Sweden,58.4158,15.6253
Helsingborg,Sweden,56.0500,12.7167
Jönköping,Sweden,57.7828,14.1606
Norrköping,Sweden,58.6000,16.2000
Luleå,Sweden,65.5844,22.1539
Piteå,Sweden,65.3333,21.5000
Umeå,Sweden,63.8250,20.2639
Sundsvall,Sweden,62.4000,17.3167
Geneva,Switzerland,46.2017,6.1469
Basel,Switzerland,47.5547,7.5906
Lausanne,Switzerland,46.5198,6.6335
Bern,Switzerland,46.9481,7.4475
Winterthur,Switzerland,47.4989,8.7286
Lucerne,Switzerland,47.0500,8.3000
Lugano,Switzerland,46.0050,8.9525
Biel/Bienne,Switzerland,47.1333,7.2500
Istanbul,Turkey,41.0136,28.9550
Ankara,Turkey,39.9300,32.8500
İzmir,Turkey,38.4200,27.1400
Bursa,Turkey,40.1833,29.0500
Adana,Turkey,37.0000,35.3213
Gaziantep,Turkey,37.0628,37.3792
Konya,Turkey,37.8667,32.4833
Antalya,Turkey,36.8874,30.7075
Kayseri,Turkey,38.7225,35.4875
Mersin,Turkey,36.8000,34.6333
Kyiv,Ukraine,50.4500,30.5233
Kharkiv,Ukraine,49.9925,36.2311
Odesa,Ukraine,46.4775,30.7326
Dnipro,Ukraine,48.4675,35.0400
Donetsk,Ukraine,48.0028,37.8053
Zaporizhzhia,Ukraine,47.8500,35.1175
Lviv,Ukraine,49.8425,24.0322
Kryvyi Rih,Ukraine,47.9086,33.3433
Mykolaiv,Ukraine,49.5247,23.9789
Mariupol,Ukraine,47.0958,37.5494
London,United Kingdom,51.5072,-0.1275
Birmingham,United Kingdom,52.4800,-1.9025
Manchester,United Kingdom,53.4794,-2.2453
Glasgow,United Kingdom,55.8611,-4.2500
Sheffield,United Kingdom,53.3808,-1.4703
Liverpool,United Kingdom,53.4075,-2.9919
Leeds,United Kingdom,53.8003,-1.5497
Edinburgh,United Kingdom,55.9533,-3.1892
Bristol,United Kingdom,51.4536,-2.5975
Vatican City,Vatican City,41.9040,12.4530
