City,Country,Continent
Tallinn,Estonia,Europe
Tartu,Estonia,Europe
Narva,Estonia,Europe
Parnu,Estonia,Europe
Kohtla-Jarve,Estonia,Europe
Viljandi,Estonia,Europe
Rakvere,Estonia,Europe
Maardu,Estonia,Europe
Kuressaare,Estonia,Europe
Voru,Estonia,Europe
Helsinki,Finland,Europe
Espoo,Finland,Europe
Tampere,Finland,Europe
Vantaa,Finland,Europe
Oulu,Finland,Europe
Turku,Finland,Europe
Jyvaskyla,Finland,Europe
Lahti,Finland,Europe
Kuopio,Finland,Europe
Kouvola,Finland,Europe
Paris,France,Europe
Marseille,France,Europe
Lyon,France,Europe
Toulouse,France,Europe
Nice,France,Europe
Nantes,France,Europe
Strasbourg,France,Europe
Montpellier,France,Europe
Bordeaux,France,Europe
Lille,France,Europe
Tbilisi,Georgia,Europe
Kutaisi,Georgia,Europe
Batumi,Georgia,Europe
Rustavi,Georgia,Europe
Zugdidi,Georgia,Europe
Gori,Georgia,Europe
Poti,Georgia,Europe
Samtredia,Georgia,Europe
Khashuri,Georgia,Europe
Tsqaltubo,Georgia,Europe
Berlin,Germany,Europe
Hamburg,Germany,Europe
Munich,Germany,Europe
Cologne,Germany,Europe
Frankfurt,Germany,Europe
Stuttgart,Germany,Europe
Dusseldorf,Germany,Europe
Dortmund,Germany,Europe
Essen,Germany,Europe
Bremen,Germany,Europe
Athens,Greece,Europe
Thessaloniki,Greece,Europe
Piraeus,Greece,Europe
Irakleio,Greece,Europe
Larisa,Greece,Europe
Volos,Greece,Europe
Rodos,Greece,Europe
Ioannina,Greece,Europe
Chania,Greece,Europe
Chalkida,Greece,Europe
Budapest,Hungary,Europe
Debrecen,Hungary,Europe
Szeged,Hungary,Europe
Miskolc,Hungary,Europe
Pecs,Hungary,Europe
Gyor,Hungary,Europe
Nyiregyhaza,Hungary,Europe
Kecskemet,Hungary,Europe
Szekesfehervar,Hungary,Europe
Szombathely,Hungary,Europe
Dublin,Ireland,Europe
Cork,Ireland,Europe
Limerick,Ireland,Europe
Galway,Ireland,Europe
Waterford,Ireland,Europe
Drogheda,Ireland,Europe
Dundalk,Ireland,Europe
Navan,Ireland,Europe
Ennis,Ireland,Europe
Rome,Italy,Europe
Milan,Italy,Europe
Naples,Italy,Europe
Turin,Italy,Europe
Palermo,Italy,Europe
Genoa,Italy,Europe
Bologna,Italy,Europe
Florence,Italy,Europe
Bari,Italy,Europe
Catania,Italy,Europe
Nur-Sultan,Kazakhstan,Europe
Almaty,Kazakhstan,Europe
Shymkent,Kazakhstan,Europe
Qaraghandy,Kazakhstan,Europe
Nur-Sultan,Kazakhstan,Europe
Aqtobe,Kazakhstan,Europe
Taraz,Kazakhstan,Europe
Pavlodar,Kazakhstan,Europe
Oskemen,Kazakhstan,Europe
Semey,Kazakhstan,Europe
Pristina,Kosovo,Europe
Prizren,Kosovo,Europe
Gjakove,Kosovo,Europe
Peje,Kosovo,Europe
Gjilan,Kosovo,Europe
Ferizaj,Kosovo,Europe
Mitrovice,Kosovo,Europe
Vushtrri,Kosovo,Europe
Fushe Kosove,Kosovo,Europe
Lipjan,Kosovo,Europe
Riga,Latvia,Europe
Daugavpils,Latvia,Europe
Liepaja,Latvia,Europe
Jelgava,Latvia,Europe
Jurmala,Latvia,Europe
Ventspils,Latvia,Europe
Rezekne,Latvia,Europe
Valmiera,Latvia,Europe
Ogre,Latvia,Europe
Tukums,Latvia,Europe
Vaduz,Liechtenstein,Europe
Schaan,Liechtenstein,Europe
Triesen,Liechtenstein,Europe
Balzers,Liechtenstein,Europe
Eschen,Liechtenstein,Europe
Mauren,Liechtenstein,Europe
Ruggell,Liechtenstein,Europe
Gamprin,Liechtenstein,Europe
Schellenberg,Liechtenstein,Europe
Planken,Liechtenstein,Europe
Vilnius,Lithuania,Europe
Kaunas,Lithuania,Europe
Klaipeda,Lithuania,Europe
Siauliai,Lithuania,Europe
Panevezys,Lithuania,Europe
Alytus,Lithuania,Europe
Marijampole,Lithuania,Europe
Mazeikiai,Lithuania,Europe
Jonava,Lithuania,Europe
Utena,Lithuania,Europe
Luxembourg,Luxembourg,Europe
Esch-sur-Alzette,Luxembourg,Europe
Differdange,Luxembourg,Europe
Dudelange,Luxembourg,Europe
Diekirch,Luxembourg,Europe
Wiltz,Luxembourg,Europe
Vianden,Luxembourg,Europe
Redange-sur-Attert,Luxembourg,Europe
Remich,Luxembourg,Europe
Valletta,Malta,Europe
Birkirkara,Malta,Europe
Mosta,Malta,Europe
Zabbar,Malta,Europe
Saint John,Malta,Europe
Fgura,Malta,Europe
Zejtun,Malta,Europe
Sliema,Malta,Europe
Qormi,Malta,Europe
Attard,Malta,Europe
Chisinau,Moldova,Europe
Tiraspol,Moldova,Europe
Balti,Moldova,Europe
Bender,Moldova,Europe
Ribnita,Moldova,Europe
Cahul,Moldova,Europe
Ungheni,Moldova,Europe
Soroca,Moldova,Europe
Orhei,Moldova,Europe
Dubasari,Moldova,Europe
Monaco,Monaco,Europe
Podgorica,Montenegro,Europe
Niksic,Montenegro,Europe
Herceg Novi,Montenegro,Europe
Pljevlja,Montenegro,Europe
Bijelo Polje,Montenegro,Europe
Cetinje,Montenegro,Europe
Bar,Montenegro,Europe
Berane,Montenegro,Europe
Ulcinj,Montenegro,Europe
Rozaje,Montenegro,Europe
Amsterdam,Netherlands,Europe
Rotterdam,Netherlands,Europe
The Hague,Netherlands,Europe
Utrecht,Netherlands,Europe
Eindhoven,Netherlands,Europe
Tilburg,Netherlands,Europe
Groningen,Netherlands,Europe
Almere,Netherlands,Europe
Breda,Netherlands,Europe
Nijmegen,Netherlands,Europe
Skopje,Macedonia,Europe
Bitola,Macedonia,Europe
Kumanovo,Macedonia,Europe
Prilep,Macedonia,Europe
Tetovo,Macedonia,Europe
Veles,Macedonia,Europe
Ohrid,Macedonia,Europe
Gostivar,Macedonia,Europe
Struga,Macedonia,Europe
Kavadarci,Macedonia,Europe
Oslo,Norway,Europe
Bergen,Norway,Europe
Trondheim,Norway,Europe
Stavanger,Norway,Europe
Drammen,Norway,Europe
Fredrikstad,Norway,Europe
Kristiansand,Norway,Europe
Sandnes,Norway,Europe
Tromso,Norway,Europe
Sarpsborg,Norway,Europe
Warsaw,Poland,Europe
Krakow,Poland,Europe
Lodz,Poland,Europe
Wroclaw,Poland,Europe
Poznan,Poland,Europe
Gdansk,Poland,Europe
Szczecin,Poland,Europe
Bydgoszcz,Poland,Europe
Lublin,Poland,Europe
Katowice,Poland,Europe
Lisbon,Portugal,Europe
Porto,Portugal,Europe
Vila Nova de Gaia,Portugal,Europe
Amadora,Portugal,Europe
Braga,Portugal,Europe
Funchal,Portugal,Europe
Coimbra,Portugal,Europe
Setubal,Portugal,Europe
Queluz,Portugal,Europe
Agualva,Portugal,Europe
Bucharest,Romania,Europe
Cluj-Napoca,Romania,Europe
Timisoara,Romania,Europe
Iasi,Romania,Europe
Constanta,Romania,Europe
Craiova,Romania,Europe
Brasov,Romania,Europe
Galati,Romania,Europe
Ploiesti,Romania,Europe
Oradea,Romania,Europe
Moscow,Russia,Europe
Saint Petersburg,Russia,Europe
Novosibirsk,Russia,Europe
Yekaterinburg,Russia,Europe
Nizhniy Novgorod,Russia,Europe
Kazan,Russia,Europe
Chelyabinsk,Russia,Europe
Omsk,Russia,Europe
Samara,Russia,Europe
Rostov,Russia,Europe
San Marino,San Marino,Europe
Belgrade,Serbia,Europe
Novi Sad,Serbia,Europe
Nis,Serbia,Europe
Kragujevac,Serbia,Europe
Subotica,Serbia,Europe
Zrenjanin,Serbia,Europe
Pancevo,Serbia,Europe
Cacak,Serbia,Europe
Novi Pazar,Serbia,Europe
Kraljevo,Serbia,Europe
Bratislava,Slovakia,Europe
Kosice,Slovakia,Europe
Presov,Slovakia,Europe
Zilina,Slovakia,Europe
Nitra,Slovakia,Europe
Banska Bystrica,Slovakia,Europe
Trnava,Slovakia,Europe
Martin,Slovakia,Europe
Trencin,Slovakia,Europe
Poprad,Slovakia,Europe
Ljubljana,Slovenia,Europe
Maribor,Slovenia,Europe
Celje,Slovenia,Europe
Kranj,Slovenia,Europe
Velenje,Slovenia,Europe
Koper,Slovenia,Europe
Novo Mesto,Slovenia,Europe
Ptuj,Slovenia,Europe
Trbovlje,Slovenia,Europe
Kamnik,Slovenia,Europe
Madrid,Spain,Europe
Barcelona,Spain,Europe
Valencia,Spain,Europe
Sevilla,Spain,Europe
Zaragoza,Spain,Europe
Malaga,Spain,Europe
Murcia,Spain,Europe
Palma,Spain,Europe
Las Palmas,Spain,Europe
Bilbao,Spain,Europe
Stockholm,Sweden,Europe
Gothenburg,Sweden,Europe
Malmo,Sweden,Europe
Uppsala,Sweden,Europe
Vasteras,Sweden,Europe
Orebro,Sweden,Europe
Linkoping,Sweden,Europe
Helsingborg,Sweden,Europe
Jonkoping,Sweden,Europe
Norrkoping,Sweden,Europe
Lulea,Sweden,Europe
Pitea,Sweden,Europe
Umea,Sweden,Europe
Sundsvall,Sweden,Europe
Zurich,Switzerland,Europe
Geneva,Switzerland,Europe
Basel,Switzerland,Europe
Lausanne,Switzerland,Europe
Bern,Switzerland,Europe
Winterthur,Switzerland,Europe
Lucerne,Switzerland,Europe
Sankt Gallen,Switzerland,Europe
Lugano,Switzerland,Europe
Biel/Bienne,Switzerland,Europe
Istanbul,Turkey,Europe
Ankara,Turkey,Europe
Izmir,Turkey,Europe
Bursa,Turkey,Europe
Adana,Turkey,Europe
Gaziantep,Turkey,Europe
Konya,Turkey,Europe
Antalya,Turkey,Europe
Kayseri,Turkey,Europe
Mersin,Turkey,Europe
Kyiv,Ukraine,Europe
Kharkiv,Ukraine,Europe
Odesa,Ukraine,Europe
Dnipro,Ukraine,Europe
Donetsk,Ukraine,Europe
Zaporizhzhia,Ukraine,Europe
Lviv,Ukraine,Europe
Kryvyi Rih,Ukraine,Europe
Mykolaiv,Ukraine,Europe
Mariupol,Ukraine,Europe
London,United Kingdom,Europe
Birmingham,United Kingdom,Europe
Manchester,United Kingdom,Europe
Glasgow,United Kingdom,Europe
Newcastle,United Kingdom,Europe
Sheffield,United Kingdom,Europe
Liverpool,United Kingdom,Europe
Leeds,United Kingdom,Europe
Edinburgh,United Kingdom,Europe
Bristol,United Kingdom,Europe
Vatican City,Vatican City,Europe
